time,rssi,distance
118988,-56,25
121003,-56,25
122024,-56,25
111897,-57,25
65472,-58,25
85623,-58,25
102804,-58,25
103812,-58,25
123031,-58,25
66479,-59,25
112918,-59,25
126066,-59,25
81593,-60,25
82601,-60,25
92704,-60,25
93725,-60,25
99769,-60,25
106847,-60,25
113938,-60,25
125059,-60,25
84616,-61,25
101797,-61,25
114945,-61,25
70510,-62,25
80585,-62,25
83608,-62,25
95740,-62,25
105827,-62,25
115953,-62,25
91683,-63,25
107868,-63,25
71518,-64,25
89653,-64,25
94732,-64,25
96748,-64,25
97755,-64,25
108875,-64,25
116974,-64,25
117980,-64,25
119996,-64,25
88646,-65,25
90660,-65,25
87638,-66,25
98762,-66,25
69502,-67,25
104820,-68,25
72525,-69,25
86631,-69,25
78570,-70,25
109883,-70,25
110890,-70,25
79578,-71,25
73533,-73,25
74540,-74,25
124051,-74,25
68495,-75,25
75548,-76,25
77563,-76,25
67488,-78,25
100790,-82,25
76555,-90,25
174666,-58,50
198899,-58,50
156453,-60,50
165574,-60,50
170624,-60,50
175674,-60,50
193862,-60,50
213054,-60,50
224163,-60,50
155445,-61,50
179718,-61,50
183761,-61,50
189832,-61,50
158482,-62,50
161530,-62,50
163545,-62,50
164566,-62,50
168596,-62,50
172639,-62,50
173659,-62,50
180739,-62,50
184782,-62,50
190839,-62,50
191847,-62,50
192854,-62,50
194869,-62,50
200928,-62,50
223155,-62,50
162538,-63,50
167589,-63,50
171631,-63,50
187804,-63,50
188824,-63,50
202969,-63,50
203976,-63,50
212048,-63,50
214062,-63,50
218105,-63,50
159490,-64,50
169603,-64,50
178695,-64,50
181746,-64,50
182754,-64,50
186797,-64,50
195877,-64,50
199907,-64,50
201948,-64,50
210033,-64,50
166582,-65,50
176681,-65,50
177689,-65,50
185789,-65,50
206003,-65,50
211040,-65,50
221127,-65,50
160511,-66,50
196884,-66,50
197892,-66,50
204983,-66,50
207011,-66,50
208017,-66,50
209025,-66,50
215083,-66,50
216090,-66,50
217097,-66,50
219112,-66,50
220119,-66,50
222134,-66,50
157475,-69,50
269704,-64,75
271731,-64,75
279857,-64,75
280878,-64,75
266670,-65,75
278849,-65,75
270724,-66,75
274766,-66,75
277829,-66,75
281897,-66,75
282918,-66,75
285966,-66,75
286987,-66,75
290023,-66,75
293071,-66,75
295106,-66,75
297135,-66,75
299163,-66,75
306266,-66,75
309289,-66,75
310309,-66,75
313358,-66,75
316393,-66,75
322492,-66,75
267677,-67,75
268697,-67,75
294092,-67,75
296112,-67,75
312350,-67,75
317415,-67,75
272738,-68,75
273747,-68,75
287995,-68,75
289002,-68,75
291030,-68,75
292051,-68,75
298143,-68,75
302211,-68,75
305259,-68,75
311330,-68,75
314365,-68,75
318434,-68,75
319442,-68,75
321470,-68,75
284947,-69,75
301204,-69,75
303232,-69,75
307274,-69,75
300183,-70,75
304239,-70,75
308282,-70,75
315385,-70,75
320450,-70,75
283926,-72,75
275786,-74,75
276808,-80,75
350831,-65,100
359900,-66,100
364962,-66,100
369030,-66,100
371070,-66,100
373099,-66,100
375127,-66,100
380177,-66,100
384233,-66,100
390303,-66,100
395393,-66,100
401476,-66,100
402483,-66,100
405532,-66,100
413655,-66,100
351838,-67,100
353855,-67,100
355870,-67,100
386261,-67,100
397421,-67,100
399448,-67,100
400456,-67,100
408580,-67,100
414662,-67,100
352847,-68,100
378149,-68,100
382205,-68,100
393352,-68,100
409600,-68,100
412648,-68,100
357886,-69,100
360920,-69,100
367003,-69,100
381197,-69,100
389283,-69,100
403491,-69,100
406553,-69,100
411628,-69,100
361928,-70,100
362934,-70,100
363955,-70,100
370051,-70,100
372091,-70,100
374106,-70,100
376134,-70,100
377142,-70,100
383225,-70,100
391323,-70,100
392331,-70,100
396400,-70,100
404512,-70,100
354863,-71,100
356878,-71,100
358892,-71,100
365982,-71,100
385254,-71,100
407560,-71,100
368023,-72,100
379156,-72,100
387268,-72,100
388275,-72,100
410608,-72,100
394371,-73,100
398441,-77,100
452161,-61,125
486612,-64,125
428844,-65,125
482569,-65,125
485592,-65,125
492671,-65,125
429851,-66,125
432916,-66,125
442047,-66,125
460276,-66,125
471383,-66,125
438005,-67,125
444074,-67,125
445095,-67,125
454189,-67,125
455210,-67,125
463311,-67,125
468348,-67,125
474445,-67,125
484584,-67,125
431893,-68,125
435964,-68,125
439012,-68,125
441040,-68,125
443054,-68,125
446103,-68,125
447111,-68,125
450133,-68,125
457253,-68,125
465326,-68,125
466333,-68,125
476484,-68,125
479520,-68,125
481561,-68,125
489635,-68,125
490642,-68,125
491664,-68,125
433922,-69,125
440032,-69,125
451154,-69,125
462304,-69,125
470377,-69,125
473424,-69,125
488627,-69,125
459268,-70,125
469369,-70,125
448117,-71,125
449125,-71,125
478512,-71,125
430871,-72,125
434943,-72,125
483577,-72,125
475464,-74,125
464319,-75,125
436985,-76,125
461284,-76,125
477492,-76,125
487620,-76,125
456230,-78,125
458261,-78,125
467341,-78,125
453169,-87,125
472403,-88,125
480541,-88,125
525117,-60,150
527133,-62,150
530154,-62,150
535192,-62,150
544338,-62,150
549400,-62,150
554465,-62,150
564579,-62,150
567628,-62,150
571672,-62,150
573713,-62,150
575741,-62,150
576748,-62,150
578764,-62,150
579784,-62,150
529147,-63,150
543330,-63,150
548380,-63,150
551415,-63,150
556479,-63,150
559515,-63,150
568650,-63,150
532170,-64,150
540281,-64,150
545358,-64,150
553457,-64,150
563571,-64,150
572693,-64,150
574734,-64,150
524097,-65,150
539274,-65,150
547373,-65,150
555472,-65,150
566608,-65,150
577756,-65,150
580792,-65,150
534184,-66,150
558507,-66,150
569657,-66,150
550408,-67,150
561544,-67,150
520055,-68,150
526125,-68,150
528139,-68,150
582819,-68,150
537233,-69,150
531162,-70,150
542324,-70,150
522069,-71,150
523076,-71,150
518040,-72,150
536213,-74,150
541302,-74,150
562551,-74,150
538254,-75,150
519047,-76,150
546365,-76,150
552437,-76,150
560522,-76,150
565601,-76,150
581811,-77,150
521062,-78,150
533177,-78,150
557487,-78,150
570665,-78,150
608170,-66,175
616268,-66,175
620349,-66,175
622391,-66,175
627455,-66,175
629469,-66,175
631485,-66,175
636576,-66,175
638620,-66,175
645739,-66,175
648775,-66,175
659883,-66,175
663927,-66,175
668991,-66,175
613246,-67,175
617288,-67,175
619329,-67,175
623397,-67,175
624419,-67,175
635569,-67,175
637597,-67,175
644731,-67,175
652804,-67,175
653812,-67,175
665955,-67,175
666962,-67,175
610197,-68,175
612224,-68,175
614253,-68,175
615261,-68,175
618309,-68,175
626448,-68,175
640647,-68,175
641669,-68,175
643710,-68,175
646759,-68,175
647767,-68,175
650790,-68,175
651797,-68,175
654820,-68,175
655840,-68,175
657855,-68,175
658875,-68,175
661898,-68,175
662919,-68,175
664948,-68,175
625427,-69,175
634548,-69,175
606143,-70,175
611205,-70,175
621370,-70,175
628463,-70,175
633526,-70,175
639627,-70,175
605122,-72,175
607163,-72,175
630477,-72,175
632506,-72,175
656847,-72,175
660891,-72,175
671021,-72,175
649782,-73,175
642690,-74,175
669998,-74,175
667970,-75,175
609189,-77,175
694324,-66,200
693317,-67,200
699375,-67,200
695332,-68,200
700396,-68,200
715612,-68,200
734819,-68,200
751006,-68,200
697346,-70,200
698354,-70,200
753021,-70,200
754028,-70,200
756056,-70,200
752013,-71,200
708494,-72,200
716620,-72,200
717640,-72,200
718648,-72,200
742907,-72,200
719669,-73,200
728762,-73,200
696340,-74,200
704439,-74,200
706467,-74,200
727754,-74,200
729770,-74,200
730776,-74,200
732805,-74,200
733813,-74,200
738862,-74,200
739884,-74,200
740892,-74,200
749985,-74,200
755047,-74,200
707475,-75,200
724719,-75,200
726747,-75,200
731797,-75,200
741900,-75,200
743914,-75,200
748965,-75,200
701417,-76,200
705446,-76,200
709515,-76,200
737855,-76,200
757063,-77,200
702424,-78,200
714591,-78,200
720676,-78,200
723711,-78,200
744922,-78,200
710536,-79,200
703431,-80,200
721684,-80,200
722692,-80,200
745929,-80,200
712551,-82,200
725740,-82,200
711543,-83,200
713571,-84,200
747957,-85,200
736847,-87,200
746937,-91,200
735840,-94,200
810777,-64,250
814834,-64,250
819899,-64,250
828993,-64,250
848224,-64,250
850266,-64,250
854309,-64,250
855328,-64,250
858364,-64,250
861400,-64,250
862407,-64,250
866463,-64,250
869484,-64,250
815842,-65,250
816862,-65,250
820906,-65,250
823942,-65,250
826978,-65,250
827985,-65,250
831008,-65,250
840127,-65,250
843162,-65,250
859371,-65,250
864435,-65,250
870504,-65,250
811785,-66,250
818878,-66,250
821927,-66,250
822935,-66,250
824950,-66,250
825957,-66,250
830000,-66,250
832028,-66,250
833048,-66,250
838099,-66,250
839106,-66,250
845201,-66,250
846209,-66,250
847217,-66,250
856336,-66,250
857344,-66,250
865455,-66,250
867469,-66,250
868477,-66,250
872520,-66,250
812792,-67,250
835064,-67,250
809769,-68,250
813814,-68,250
817870,-68,250
837091,-68,250
842155,-68,250
844182,-68,250
851274,-68,250
852281,-68,250
853288,-68,250
860392,-68,250
873527,-68,250
834056,-69,250
836084,-69,250
849245,-69,250
863414,-69,250
871512,-69,250
841147,-71,250
972855,-65,300
961734,-66,300
964769,-66,300
942497,-67,300
953619,-67,300
975890,-67,300
930353,-68,300
934397,-68,300
945545,-68,300
956668,-68,300
958697,-68,300
980951,-68,300
927306,-69,300
928326,-69,300
937433,-69,300
939461,-69,300
940469,-69,300
948568,-69,300
950583,-69,300
951590,-69,300
931362,-70,300
935405,-70,300
938454,-70,300
949575,-70,300
957689,-70,300
978924,-70,300
981959,-70,300
929346,-71,300
941477,-71,300
946552,-71,300
965777,-71,300
967804,-71,300
976896,-71,300
977904,-71,300
982980,-71,300
932370,-72,300
933390,-72,300
936412,-72,300
943517,-72,300
952598,-72,300
954641,-72,300
959704,-72,300
963762,-72,300
968812,-72,300
970839,-72,300
971847,-72,300
947560,-73,300
962740,-73,300
973875,-73,300
979945,-73,300
944538,-74,300
955661,-74,300
960726,-74,300
969819,-76,300
966783,-77,300
974882,-86,300
1220068,-65,350
1218040,-66,350
1231243,-66,350
1255629,-66,350
1258678,-66,350
1266778,-66,350
1234290,-67,350
1235311,-67,350
1267799,-67,350
1221089,-68,350
1223116,-68,350
1227185,-68,350
1243449,-68,350
1247505,-68,350
1254608,-68,350
1262708,-68,350
1232263,-69,350
1249533,-69,350
1263716,-69,350
1273896,-69,350
1277951,-69,350
1224137,-70,350
1226165,-70,350
1246485,-70,350
1250541,-70,350
1251548,-70,350
1253588,-70,350
1265757,-70,350
1271868,-70,350
1274916,-70,350
1222096,-71,350
1236331,-71,350
1242441,-71,350
1259686,-71,350
1278972,-71,350
1230220,-72,350
1248525,-72,350
1269839,-72,350
1275924,-72,350
1241421,-73,350
1219060,-74,350
1237351,-74,350
1238359,-74,350
1240399,-74,350
1270847,-74,350
1233270,-75,350
1257671,-75,350
1279992,-75,350
1225158,-76,350
1245463,-76,350
1260694,-76,350
1264737,-76,350
1268818,-76,350
1272888,-76,350
1276931,-76,350
1282021,-76,350
1228193,-77,350
1239378,-78,350
1244456,-78,350
1261701,-79,350
1252568,-81,350
1229201,-82,350
1281013,-83,350
1256650,-86,350
1283029,-92,350
1321537,-72,400
1325566,-72,400
1340755,-72,400
1303298,-73,400
1317481,-73,400
1296206,-74,400
1311398,-74,400
1319497,-74,400
1351864,-74,400
1352885,-74,400
1328614,-75,400
1336712,-75,400
1345806,-75,400
1294179,-76,400
1295199,-76,400
1297213,-76,400
1306347,-76,400
1314433,-76,400
1342769,-76,400
1346813,-76,400
1347821,-76,400
1350857,-76,400
1354913,-76,400
1301270,-77,400
1320516,-77,400
1329622,-77,400
1331637,-77,400
1300248,-78,400
1305327,-78,400
1308363,-78,400
1309382,-78,400
1310390,-78,400
1312405,-78,400
1323552,-78,400
1324560,-78,400
1326586,-78,400
1334684,-78,400
1339747,-78,400
1348842,-78,400
1299242,-79,400
1302291,-79,400
1327594,-79,400
1335692,-80,400
1337720,-80,400
1338727,-80,400
1298234,-81,400
1315453,-81,400
1332657,-81,400
1313426,-82,400
1333665,-82,400
1344798,-82,400
1353905,-82,400
1293171,-83,400
1322545,-83,400
1330629,-83,400
1341762,-83,400
1304306,-85,400
1343790,-86,400
1349849,-86,400
1316461,-87,400
1318488,-87,400
1307355,-94,400
1394439,-69,450
1395460,-72,450
1402552,-72,450
1393432,-74,450
1396468,-74,450
1397489,-74,450
1398508,-74,450
1400524,-74,450
1401544,-74,450
1436027,-74,450
1388368,-75,450
1412693,-75,450
1428932,-75,450
1389376,-76,450
1411685,-76,450
1420792,-76,450
1432990,-76,450
1437034,-76,450
1440083,-76,450
1443131,-76,450
1407630,-77,450
1421812,-77,450
1444150,-77,450
1383279,-78,450
1385320,-78,450
1391403,-78,450
1399516,-78,450
1408638,-78,450
1416735,-78,450
1423851,-78,450
1425895,-78,450
1441103,-78,450
1392411,-79,450
1404595,-79,450
1413700,-79,450
1418764,-79,450
1387349,-80,450
1403573,-80,450
1405602,-80,450
1430961,-80,450
1445172,-80,450
1384299,-81,450
1410677,-81,450
1422832,-81,450
1438042,-81,450
1439063,-81,450
1426903,-82,450
1429940,-82,450
1419784,-83,450
1409658,-84,450
1415715,-84,450
1417743,-84,450
1431983,-84,450
1414708,-85,450
1424873,-85,450
1433998,-86,450
1386328,-87,450
1406610,-88,450
1427923,-88,450
1390396,-90,450
1442110,-92,450
1435006,-94,450
1496921,-72,500
1476663,-73,500
1485810,-73,500
1489853,-73,500
1490861,-73,500
1494891,-73,500
1506041,-73,500
1511119,-73,500
1517216,-73,500
1469571,-74,500
1482775,-74,500
1483782,-74,500
1498949,-74,500
1501998,-74,500
1503006,-74,500
1504013,-74,500
1505020,-74,500
1510111,-74,500
1488846,-75,500
1515176,-75,500
1520252,-75,500
1467531,-76,500
1480734,-76,500
1481754,-76,500
1486817,-76,500
1499970,-76,500
1500990,-76,500
1513148,-76,500
1519244,-76,500
1522279,-76,500
1470579,-77,500
1484790,-77,500
1491869,-77,500
1495899,-77,500
